"UniqueID","UniversalPublicationId","BulkOrigin","BulkUniqueId","DirectoryName","Address1","PostCode","City","Province","Country"
"0717622152","USNY100725082","DnB","606511041","Truck Service Center","110 Classon Ave","11205","Brooklyn","NY","USA"
"2030660104","USPA100850567","DBUSA","1114001259018112450032132250","Alloyed Wheel Repair Specialist","4901 Umbria St","19128","Philadelphia","PA","USA"
"0732950480","USKY100351110","DnB","621839369","Elite Family Dentistry","6287 Tylrsvlle Rd Bldng Bldngz","40023","Fisherville","KY","USA"
"0140575137","USIL100174494","DnB","029464026","O'Charley's","4241 Conestoga Dr","62711","Springfield","IL","USA"
"2001936809","USFL100115106","DBUSA","1113254537517512438245163576","Family's Choice Electrical Rep","3334 Se 138th Pl","34491","Summerfield","FL","USA"
"2033853265","USTX102481808","DBUSA","1114001852099412450033216697","B Barnes Holdings","2500 Business Center Dr Apt 4303","77584","Pearland","TX","USA"
"2035935787","USKY100081558","DBUSA","1114000447444512450064998278","Mindful Medicine","2134 Nicholasville Rd Ste 12","40503","Lexington","KY","USA"
"0151340905","USSC100409701","DnB","040229794","Moanikai Massage & Wellness","850 Wade Hampton Blvd C","29609","Greenville","SC","USA"
"2000837403","USOK100009425","DBUSA","1113254198514212438202824280","Thelma B Chambers-Young","921 Ne 13th St","73104","Oklahoma City","OK","USA"
"2011065568","USNY100677006","DBUSA","1113255144053911132551440539","Jumbo Travel","3535 31st St","11106","Astoria","NY","USA"
"2002126703","USOH100066884","DBUSA","1113254803355312450009355428","Lake Erie Tapehouse","5561 Liberty Ave","44089","Vermilion","OH","USA"
"2018942865","USFL101215778","DBUSA","1114000982575511140009825755","Klasiq Ink","2121 Corporate Square Blvd Ste 132","32216","Jacksonville","FL","USA"
"2029159670","USCT100118266","DBUSA","1113254962780512438253418786","Tri Towne Power Equipment","22 Whittlesey Brook Rd","06417","Deep River","CT","USA"
"2027984351","USPA100943312","DBUSA","1114001524374311140015243743","Simplilearn Americas","800 N 2nd St","17102","Harrisburg","PA","USA"
"2009424252","USOH100294931","DBUSA","1113255035073111132550350731","Creative Mortgage Services","2708 Sawbury Blvd","43235","Columbus","OH","USA"
"0119229976","USAL100375393","DnB","008118865","World Acceptance","1020 Schillinger Rd S C","36695","Mobile","AL","USA"
"2033798253","USFL100559333","DBUSA","1113254821921712450033783525","Lug Man","5875 Mining Ter Ste 205","32257","Jacksonville","FL","USA"
"2005855218","USNJ100178490","DBUSA","1114000339485912438248967956","Microtech Computers","3572 John F Kennedy Blvd","07307","Jersey City","NJ","USA"
"2003752223","USIN100063013","DBUSA","1113255102317212438244097543","Dart Electric","5202 E 24th St","46218","Indianapolis","IN","USA"
"2011790536","USCA101320942","DBUSA","1114000012714612450000127146","Chase","1299 4th St Ste 100","94901","San Rafael","CA","USA"
"0240752316","USCA100987107","DnB","129641205","Gamez, Robert L, CPA","920 Glenneyre St","92651","Laguna Beach","CA","USA"
"2035158998","USMD101377511","DBUSA","1114002090729311140020907293","Amg Of Maryland","905 Primrose Rd Apt 102","21403","Annapolis","MD","USA"
"0179232561","USGA100889137","DnB","068121450","Cumming GA Podiatry","102 Mary Alice Park Rd","30040","Cumming","GA","USA"
"2033556459","USIL100178479","DBUSA","1114000116208312450033585600","Tagore Technology","5 E College Dr Ste 200","60004","Arlington Heights","IL","USA"
"2020384916","USPA100533271","DBUSA","1114001098082611140010980826","Northwood Baptist Chapel","402 Hancock St","16686","Tyrone","PA","USA"
"0127949491","USWI100480476","DnB","016838380","JRS Insurance","2893 Main St","53120","East Troy","WI","USA"
"0209107049","USKS100234241","DnB","097995938","Arnold V Mueller M D","2737 SW Bluestem Dr","66614","Topeka","KS","USA"
"0897563549","USAK100111482","DnB","786452438","Sourdough Express","13310 Vern Dr","99516","Anchorage","AK","USA"
"0969978983","USCA103261573","DnB","858867872","Avon, Mark R, MD","5201 N Cayon Rd","94583","San Ramon","CA","USA"
"2024859798","USNH100129844","DBUSA","1114001309030711140013090307","Beauty By Design","28 S Main St","03301","Concord","NH","USA"
"2010168268","USNJ100312871","DBUSA","1113255280179611132552801796","Mddc","1 Borgata Way","08401","Atlantic City","NJ","USA"
"0180493530","USCA103026104","DnB","069382419","Digital Video Creations","4360 Viewridge Ave","92123","San Diego","CA","USA"
"2035120543","USAZ100594946","DBUSA","1114002088236611140020882366","Gb Remodeling","3815 N 27th Ave Lot 57","85017","Phoenix","AZ","USA"
"2020550611","USMD100361518","DBUSA","1114001053408412450012979083","Christopher Zajac","9649 Belair Rd Ste 200","21236","Nottingham","MD","USA"
"0233925528","USFL100999705","DnB","122814417","Prestige Mobile Imaging","4100 N Powerline Rd","33073","Pompano Beach","FL","USA"
"2028480281","USCA102581667","DBUSA","1114001577495912450031385946","Elizabeth O Marquart MD","36485 Inland Valley Dr","92595","Wildomar","CA","USA"
"0166283122","USOH100888982","DnB","055172011","Miriam Boraz-Paponetti","3601 Green Rd","44122","Beachwood","OH","USA"
"2034462308","USOH100142032","DBUSA","1113255434124312450035887241","State Farm Insurance","581 High St Ne","44483","Warren","OH","USA"
"0287881758","USNJ100741667","DnB","176770647","Alapatt P Thomas","9 Manor Dr","07059","Warren","NJ","USA"
"2004085492","USOK100049968","DAT_uberall","","","406 South Boulder Avenue","74103","Tulsa","OK","USA"
"2001907161","USFL100113523","DBUSA","1113254623646012438210635496","Deborah C Drylie","4719 Nw 53rd Ave","32653","Gainesville","FL","USA"
"2033628393","USMO100258675","DBUSA","1114000708853412450033652382","Columbia Real Estate","2100 W Broadway","65203","Columbia","MO","USA"
"01048856135","USGA100090031","DnB","937745024","Kt Nails","736 Ponce De Leon Ave Ne","30306","Atlanta","GA","USA"
